n,linear_compares,linear_time,binary_compares,binary_time,table_time
20,14,200,5,100,400
1000,667,2700,8,100,600
5000,3334,13600,10,400,700
10000,6667,35000,13,400,1300
50000,33331,136000,16,600,1300
