n,linear_compares,linear_time,binary_compares,binary_time,hash_compares,hash_time
20,14,431,9,943,0,1816
1000,667,12379,15,15243,0,1845
5000,3334,69229,19,78157,0,2004
10000,6667,131882,25,147128,0,2016
50000,33334,741107,31,1402350,0,3161
