n,linear_compares,linear_shifts,linear_time,binary_compares,binary_shifts,binary_time
20,14,13,483,9,17,887
100,68,67,1638,7,91,2370
1000,668,667,14709,19,992,22475
10000,6668,6667,74452,27,9992,117595
100000,66668,66667,716043,31,99986,1195942
1000000,666668,666667,8530400,37,999986,14288922
10000000,6666668,6666667,89561249,45,9999981,145253679
100000000,66666667,66666666,924153559,51,99999981,1568060855
